# Program:featureCounts v1.6.4; Command:"featureCounts" "-T" "16" "-F" "GTF" "-a" "../../GRCh38_GENCODE_rmsk_TE.gtf" "-t" "exon" "-g" "gene_id" "--extraAttributes" "transcript_id,family_id,class_id" "-O" "-M" "--fraction" "--primary" "-s" "0" "-p" "-o" "te_counts.txt" "C1.bam" "C2.bam" "K700E1.bam" "K700E2.bam" 	
Geneid	family_id	class_id	C1.bam	C2.bam	K700E1.bam	K700E2.bam
L1M2	L1	LINE	7648.87	7790.00	10952.12	10887.58
AluSx3	Alu	SINE	34316.74	34546.24	37470.29	37105.57
AluSx	Alu	SINE	122133.71	121742.78	134899.09	134679.91
AluJr	Alu	SINE	93805.16	93663.15	107489.66	107667.92
AluSq2	Alu	SINE	59954.17	60112.37	67353.90	67215.04
AluJb	Alu	SINE	149075.30	150194.10	171536.84	171231.01
AluSg4	Alu	SINE	6184.25	6311.58	7234.81	7211.48
AluJo	Alu	SINE	83332.85	83752.40	100671.88	100851.88
AluSx1	Alu	SINE	112379.18	111838.49	127573.61	126887.86
MER113A	hAT-Charlie	DNA	851.42	922.12	942.25	939.73
L2c	L2	LINE	113765.72	113767.57	133786.92	133664.45
MIRb	MIR	SINE	150275.60	151100.43	176942.01	177398.28
MER3	hAT-Charlie	DNA	8323.20	8077.33	9310.16	9136.08
AluY	Alu	SINE	75041.88	75191.60	80615.51	80105.41
L1ME3G	L1	LINE	11454.86	11411.83	14805.91	14792.91
MIR	MIR	SINE	108102.57	109012.17	132796.55	132760.20
FLAM_C	Alu	SINE	22577.73	22772.43	25250.52	25528.54
AluJr4	Alu	SINE	20306.53	20212.70	24808.53	24665.98
AluSc8	Alu	SINE	21133.50	21496.13	23376.44	23132.79
AluSc5	Alu	SINE	5389.98	5496.08	6035.11	6196.25
L2	L2	LINE	56919.31	57277.86	66116.99	66414.31
Tigger12c	TcMar-Tigger	DNA	843.83	806.33	954.00	909.83
L3	CR1	LINE	46401.08	46429.33	50677.60	50686.28
L2a	L2	LINE	139439.38	140707.83	163585.13	163023.15
AluSz	Alu	SINE	107821.81	107749.74	122944.54	122363.71
AluSc	Alu	SINE	34336.74	34393.23	36131.93	36123.63
AluSg	Alu	SINE	39640.53	39683.43	43517.91	43657.89
MER77B	ERVL	LTR	796.75	807.75	1227.25	1192.83
MER66B	ERV1	LTR	656.00	608.70	1054.78	1083.45
MER30	hAT-Charlie	DNA	3051.70	2946.17	3642.12	3726.25
L1MC4	L1	LINE	28281.08	28480.56	38115.70	37712.83
MER8	TcMar-Tigger	DNA	2557.66	2452.08	2861.33	2780.53
MLT1N2	ERVL-MaLR	LTR	2014.00	1989.33	2600.50	2593.50
MER2	TcMar-Tigger	DNA	7850.11	7842.91	10109.13	10269.90
MLT1F1	ERVL-MaLR	LTR	2623.75	2577.83	3038.23	3137.00
AluSp	Alu	SINE	59871.34	60037.12	65977.13	65908.82
AluSz6	Alu	SINE	52479.16	52770.34	60815.09	60717.29
L1PB2	L1	LINE	1651.58	1649.42	2538.42	2491.75
L1MA3	L1	LINE	8233.58	8310.42	13177.45	13272.00
AluYe5	Alu	SINE	591.00	626.92	767.00	739.45
AluYg6	Alu	SINE	245.75	266.20	308.78	288.25
AluSg7	Alu	SINE	8650.15	8676.73	8896.25	8796.28
MER58A	hAT-Charlie	DNA	10358.08	10348.70	12509.75	12283.36
Charlie18a	hAT-Charlie	DNA	1588.08	1626.42	1935.00	1843.25
MLT1J	ERVL-MaLR	LTR	9092.37	9220.00	11899.33	11881.08
MER58C	hAT-Charlie	DNA	2904.25	2929.58	3173.50	3235.25
L1MB7	L1	LINE	26423.60	26583.73	33927.78	34120.24
L1ME1	L1	LINE	25968.98	25717.53	35571.19	35443.14
AluYf1	Alu	SINE	1234.17	1228.33	1330.75	1361.03
Charlie15a	hAT-Charlie	DNA	3184.00	3152.83	3179.17	3250.58
L1M5	L1	LINE	36132.46	36182.19	46653.59	46595.79
Charlie8	hAT-Charlie	DNA	2511.45	2516.00	2809.42	2701.50
MIR3	MIR	SINE	69391.44	69460.61	76754.01	77172.73
AluSq	Alu	SINE	20322.58	20207.31	21587.21	21527.83
AluSx4	Alu	SINE	10654.73	10566.86	12105.11	12233.15
MIRc	MIR	SINE	75894.17	76298.19	84835.24	84535.79
FLAM_A	Alu	SINE	12721.10	12701.60	14543.53	14492.33
Charlie22a	hAT-Charlie	DNA	882.33	900.92	1167.33	1129.67
L1MEf	L1	LINE	10440.78	10411.42	15276.15	15402.91
LTR24C	ERV1	LTR	189.25	190.28	236.78	251.87
L1MC	L1	LINE	4330.00	4311.38	6217.26	6335.16
L1ME4b	L1	LINE	18999.40	19173.03	24437.95	24456.48
Charlie7a	hAT-Charlie	DNA	600.75	640.67	847.33	830.17
MER90a	ERV1	LTR	794.67	789.20	1110.17	1157.42
FRAM	Alu	SINE	6716.75	6680.01	7651.78	7776.95
L1PA10	L1	LINE	8648.45	8833.50	11465.62	11461.95
L1ME4a	L1	LINE	23621.91	23435.66	29275.91	29204.65
MER5A	hAT-Charlie	DNA	21495.03	21825.58	24214.41	24211.75
